UWI,Zone,Fracs Placed,Per Frac Test Rate,Tonnage per Frac,Water per Frac,Average Pumping Rate,Average Breakdown Pressure (Mpa),Average Pumping Pressure (Mpa)
02/15-21-060-19W5/0,All Montney,11,,21,56.94545455,,,
00/04-22-060-19W5/0,All Montney,6,,30,57.41666667,,,
00/13-22-060-19W5/0,All Montney,6,,30,78.89333333,,,
00/16-22-060-19W5/0,All Montney,23,,15,48.69565217,2.796758929,39.62681961,28.64089286
00/01-23-060-19W5/0,All Montney,5,,30,13.822,,,
00/13-23-060-19W5/0,All Montney,6,,21.66666667,50.105,,,
00/16-23-060-19W5/0,All Montney,12,,15,34.415,,,
00/01-24-060-19W5/2,All Montney,15,,8.5,27.90666667,,,
00/04-24-060-19W5/0,All Montney,11,,21,62.55363636,,,
00/01-26-060-19W5/0,All Montney,8,,9.12625,29.44125,2.25,34.6625,27.1625
02/03-27-060-19W5/0,All Montney,,,,,,,
00/13-27-060-19W5/2,All Montney,7,,33.85714286,86.26142857,,,
00/16-27-060-19W5/0,All Montney,14,,15,39.83142857,,,
00/06-28-060-19W5/2,All Montney,5,,21,56.082,,,
W0/13-28-060-19W5/0,All Montney,,,,,,,
00/16-28-060-19W5/2,All Montney,15,,21,53.766,,,
02/16-28-060-19W5/0,All Montney,11,,25.10909091,54.27545455,,,
00/08-29-060-19W5/0,All Montney,5,,20,67.88,,,
00/13-29-060-19W5/0,All Montney,11,,21,61.81818182,,,
00/15-29-060-19W5/0,All Montney,11,,21,68.63636364,,,
00/05-30-060-19W5/0,All Montney,11,,21,67.48181818,,,
00/15-30-060-19W5/0,All Montney,20,,21,55.5685,,,
00/04-32-060-19W5/0,All Montney,5,,20.5,64.16,2,45.36,
00/04-33-060-19W5/0,All Montney,5,,20,69.092,,,
00/01-01-060-20W5/0,All Montney,16,,10,46.4375,,,
02/01-01-060-20W5/0,All Montney,17,,20,34.04117647,2.215828581,42.55195652,42.80559876
00/08-01-060-20W5/0,All Montney,23,,10,44.30434783,,,
02/05-02-060-20W5/2,All Montney,18,,10,46.13833333,,33.78496382,26.84269633
